investor_id,date,loan_id,amount,principal_payment,interest_payment
1,2022-05-25,884,-26250,-26250,0
3,2022-05-25,884,-11000,-11000,0
1,2022-05-26,164,-26250,-26250,0
3,2022-05-26,164,-11000,-11000,0
3,2022-05-28,178,-110000,-110000,0
1,2022-05-28,231,-26250,-26250,0
1,2022-05-28,232,-5250,-5250,0
2,2022-05-28,232,-16000,-16000,0
3,2022-05-28,232,-27500,-27500,0
4,2022-05-28,232,-500,-500,0
5,2022-05-28,232,-10000,-10000,0
1,2022-05-28,558,-26250,-26250,0
1,2022-05-28,702,-5250,-5250,0
5,2022-05-28,702,-10000,-10000,0
1,2022-05-30,89,-26250,-26250,0
1,2022-05-30,190,-26250,-26250,0
3,2022-05-30,190,-11000,-11000,0
4,2022-05-30,190,-2500,-2500,0
1,2022-05-30,227,-5250,-5250,0
2,2022-05-30,227,-16000,-16000,0
3,2022-05-30,227,-27500,-27500,0
5,2022-05-30,227,-10000,-10000,0
1,2022-05-30,258,-5250,-5250,0
2,2022-05-30,258,-16000,-16000,0
4,2022-05-30,258,-500,-500,0
5,2022-05-30,258,-10000,-10000,0
2,2022-05-30,789,-80000,-80000,0
1,2022-05-31,111,-26250,-26250,0
2,2022-05-31,163,-16000,-16000,0
4,2022-05-31,163,-500,-500,0
1,2022-05-31,355,-26250,-26250,0
3,2022-05-31,355,-11000,-11000,0
4,2022-05-31,355,-2500,-2500,0
3,2022-05-31,592,1124.410909,762.3275757,362.0833333
1,2022-05-31,781,4892.630988,4028.568488,864.0625
3,2022-05-31,781,2050.245366,1688.162033,362.0833333
4,2022-05-31,781,465.964856,383.6731893,82.29166667
2,2022-05-31,931,-16000,-16000,0
3,2022-05-31,931,-27500,-27500,0
4,2022-05-31,931,-500,-500,0
5,2022-05-31,931,-10000,-10000,0
1,2022-06-01,60,-26250,-26250,0
4,2022-06-01,60,-2500,-2500,0
3,2022-06-01,228,-11000,-11000,0
2,2022-06-01,381,1486.750495,1212.083828,274.6666667
3,2022-06-01,381,2555.352413,2083.26908,472.0833333
4,2022-06-01,381,46.46095297,37.87761963,8.583333333
1,2022-06-01,585,-26250,-26250,0
1,2022-06-02,907,-26250,-26250,0
4,2022-06-02,907,-2500,-2500,0
1,2022-06-03,248,-26250,-26250,0
3,2022-06-03,282,1124.410909,762.3275757,362.0833333
4,2022-06-03,282,255.5479339,173.2562672,82.29166667
1,2022-06-03,526,2683.253306,1819.190806,864.0625
3,2022-06-03,526,1124.410909,762.3275757,362.0833333
4,2022-06-03,526,255.5479339,173.2562672,82.29166667
1,2022-06-03,599,4892.630988,4028.568488,864.0625
3,2022-06-03,599,2050.245366,1688.162033,362.0833333
4,2022-06-03,599,465.964856,383.6731893,82.29166667
4,2022-06-03,826,-2500,-2500,0
1,2022-06-04,21,487.8400061,397.7150061,90.125
2,2022-06-04,21,1486.750495,1212.083828,274.6666667
3,2022-06-04,545,1124.410909,762.3275757,362.0833333
4,2022-06-04,545,255.5479339,173.2562672,82.29166667
4,2022-06-04,621,255.5479339,173.2562672,82.29166667
1,2022-06-04,699,-26250,-26250,0
1,2022-06-05,75,-26250,-26250,0
4,2022-06-05,75,-2500,-2500,0
1,2022-06-05,119,-26250,-26250,0
4,2022-06-05,119,-2500,-2500,0
1,2022-06-05,175,-26250,-26250,0
4,2022-06-05,175,-2500,-2500,0
1,2022-06-05,198,2683.253306,1819.190806,864.0625
1,2022-06-05,463,-5250,-5250,0
2,2022-06-05,463,-16000,-16000,0
3,2022-06-05,463,-27500,-27500,0
4,2022-06-05,463,-500,-500,0
1,2022-06-05,508,928.3184858,838.1934858,90.125
2,2022-06-05,508,2829.1611,2554.494433,274.6666667
4,2022-06-05,508,88.41128436,79.82795103,8.583333333
5,2022-06-05,508,1768.225687,1596.559021,171.6666667
4,2022-06-05,604,255.5479339,173.2562672,82.29166667
1,2022-06-05,972,4892.630988,4028.568488,864.0625
3,2022-06-05,972,2050.245366,1688.162033,362.0833333
4,2022-06-05,972,465.964856,383.6731893,82.29166667
3,2022-06-06,295,1124.410909,762.3275757,362.0833333
4,2022-06-06,295,255.5479339,173.2562672,82.29166667
1,2022-06-06,398,-5250,-5250,0
2,2022-06-06,398,-16000,-16000,0
5,2022-06-06,398,-10000,-10000,0
4,2022-06-06,588,255.5479339,173.2562672,82.29166667
1,2022-06-06,644,487.8400061,397.7150061,90.125
2,2022-06-06,644,1486.750495,1212.083828,274.6666667
3,2022-06-06,644,2555.352413,2083.26908,472.0833333
4,2022-06-06,644,46.46095297,37.87761963,8.583333333
1,2022-06-06,865,-26250,-26250,0
1,2022-06-07,124,-5250,-5250,0
2,2022-06-07,124,-16000,-16000,0
1,2022-06-07,619,4892.630988,4028.568488,864.0625
4,2022-06-07,619,465.964856,383.6731893,82.29166667
3,2022-06-07,909,19274.91038,17679.91038,1595
1,2022-06-07,914,4892.630988,4028.568488,864.0625
1,2022-06-08,93,4892.630988,4028.568488,864.0625
4,2022-06-08,93,465.964856,383.6731893,82.29166667
1,2022-06-08,640,-26250,-26250,0
4,2022-06-08,640,-2500,-2500,0
2,2022-06-08,757,7311.574955,6151.574955,1160
3,2022-06-08,757,10053.41556,8458.415563,1595
5,2022-06-08,757,4569.734347,3844.734347,725
1,2022-06-08,763,487.8400061,397.7150061,90.125
2,2022-06-08,763,1486.750495,1212.083828,274.6666667
3,2022-06-08,763,2555.352413,2083.26908,472.0833333
1,2022-06-08,817,-26250,-26250,0
4,2022-06-08,817,-2500,-2500,0
3,2022-06-08,990,1124.410909,762.3275757,362.0833333
4,2022-06-08,990,255.5479339,173.2562672,82.29166667
3,2022-06-09,54,1124.410909,762.3275757,362.0833333
3,2022-06-09,179,-27500,-27500,0
4,2022-06-09,179,-500,-500,0
5,2022-06-09,179,-10000,-10000,0
1,2022-06-09,387,2683.253306,1819.190806,864.0625
4,2022-06-09,387,255.5479339,173.2562672,82.29166667
4,2022-06-09,516,255.5479339,173.2562672,82.29166667
1,2022-06-09,721,487.8400061,397.7150061,90.125
3,2022-06-09,721,2555.352413,2083.26908,472.0833333
4,2022-06-09,721,46.46095297,37.87761963,8.583333333
1,2022-06-09,917,-26250,-26250,0
3,2022-06-09,917,-11000,-11000,0
3,2022-06-10,208,1124.410909,762.3275757,362.0833333
4,2022-06-10,208,255.5479339,173.2562672,82.29166667
1,2022-06-10,437,4892.630988,4028.568488,864.0625
4,2022-06-10,437,465.964856,383.6731893,82.29166667
1,2022-06-10,469,-5250,-5250,0
3,2022-06-10,469,-27500,-27500,0
4,2022-06-10,469,-500,-500,0
1,2022-06-10,525,2683.253306,1819.190806,864.0625
3,2022-06-10,525,1124.410909,762.3275757,362.0833333
4,2022-06-10,525,255.5479339,173.2562672,82.29166667
1,2022-06-10,825,-26250,-26250,0
3,2022-06-10,825,-11000,-11000,0
1,2022-06-10,915,487.8400061,397.7150061,90.125
2,2022-06-10,915,1486.750495,1212.083828,274.6666667
4,2022-06-10,915,46.46095297,37.87761963,8.583333333
5,2022-06-10,915,929.2190593,757.5523927,171.6666667
1,2022-06-11,168,4892.630988,4028.568488,864.0625
3,2022-06-11,168,2050.245366,1688.162033,362.0833333
4,2022-06-11,168,465.964856,383.6731893,82.29166667
1,2022-06-11,511,4892.630988,4028.568488,864.0625
4,2022-06-11,511,465.964856,383.6731893,82.29166667
1,2022-06-11,662,-26250,-26250,0
3,2022-06-11,662,-11000,-11000,0
4,2022-06-11,662,-2500,-2500,0
1,2022-06-11,885,487.8400061,397.7150061,90.125
2,2022-06-11,885,1486.750495,1212.083828,274.6666667
3,2022-06-11,885,2555.352413,2083.26908,472.0833333
4,2022-06-11,885,46.46095297,37.87761963,8.583333333
1,2022-06-12,173,2683.253306,1819.190806,864.0625
4,2022-06-12,173,255.5479339,173.2562672,82.29166667
1,2022-06-12,265,4892.630988,4028.568488,864.0625
3,2022-06-12,347,1124.410909,762.3275757,362.0833333
4,2022-06-12,347,255.5479339,173.2562672,82.29166667
1,2022-06-12,428,2683.253306,1819.190806,864.0625
4,2022-06-12,428,255.5479339,173.2562672,82.29166667
3,2022-06-12,445,-11000,-11000,0
4,2022-06-12,445,-2500,-2500,0
3,2022-06-12,557,-11000,-11000,0
4,2022-06-12,557,-2500,-2500,0
4,2022-06-12,779,-2500,-2500,0
1,2022-06-12,927,487.8400061,397.7150061,90.125
2,2022-06-12,927,1486.750495,1212.083828,274.6666667
2,2022-06-12,982,-80000,-80000,0
3,2022-06-12,982,-110000,-110000,0
5,2022-06-12,982,-50000,-50000,0
1,2022-06-13,298,928.3184858,838.1934858,90.125
2,2022-06-13,298,2829.1611,2554.494433,274.6666667
3,2022-06-13,298,4862.62064,4390.537307,472.0833333
3,2022-06-13,370,-11000,-11000,0
4,2022-06-13,370,-2500,-2500,0
1,2022-06-13,396,-26250,-26250,0
3,2022-06-13,396,-11000,-11000,0
4,2022-06-13,396,-2500,-2500,0
3,2022-06-14,99,-11000,-11000,0
4,2022-06-14,99,-2500,-2500,0
2,2022-06-14,181,-80000,-80000,0
1,2022-06-14,367,-26250,-26250,0
4,2022-06-14,367,-2500,-2500,0
1,2022-06-14,606,487.8400061,397.7150061,90.125
2,2022-06-14,606,1486.750495,1212.083828,274.6666667
4,2022-06-14,606,46.46095297,37.87761963,8.583333333
5,2022-06-14,606,929.2190593,757.5523927,171.6666667
2,2022-06-14,738,-16000,-16000,0
3,2022-06-14,738,-27500,-27500,0
2,2022-06-14,744,7311.574955,6151.574955,1160
3,2022-06-14,744,10053.41556,8458.415563,1595
4,2022-06-14,773,-2500,-2500,0
1,2022-06-15,187,2683.253306,1819.190806,864.0625
3,2022-06-15,187,1124.410909,762.3275757,362.0833333
4,2022-06-15,187,255.5479339,173.2562672,82.29166667
1,2022-06-15,389,-5250,-5250,0
2,2022-06-15,389,-16000,-16000,0
5,2022-06-15,389,-10000,-10000,0
1,2022-06-16,222,-26250,-26250,0
1,2022-06-16,578,-5250,-5250,0
2,2022-06-16,578,-16000,-16000,0
3,2022-06-16,578,-27500,-27500,0
3,2022-06-16,698,1124.410909,762.3275757,362.0833333
4,2022-06-16,698,255.5479339,173.2562672,82.29166667
1,2022-06-17,10,-5250,-5250,0
3,2022-06-17,10,-27500,-27500,0
4,2022-06-17,10,-500,-500,0
5,2022-06-17,10,-10000,-10000,0
1,2022-06-17,709,2683.253306,1819.190806,864.0625
4,2022-06-17,709,255.5479339,173.2562672,82.29166667
1,2022-06-17,715,4892.630988,4028.568488,864.0625
4,2022-06-17,715,465.964856,383.6731893,82.29166667
1,2022-06-17,720,4892.630988,4028.568488,864.0625
3,2022-06-17,720,2050.245366,1688.162033,362.0833333
4,2022-06-17,720,465.964856,383.6731893,82.29166667
1,2022-06-17,769,487.8400061,397.7150061,90.125
2,2022-06-17,769,1486.750495,1212.083828,274.6666667
4,2022-06-17,769,46.46095297,37.87761963,8.583333333
5,2022-06-17,769,929.2190593,757.5523927,171.6666667
1,2022-06-17,895,-26250,-26250,0
3,2022-06-17,895,-11000,-11000,0
1,2022-06-17,991,-5250,-5250,0
4,2022-06-17,991,-500,-500,0
5,2022-06-17,991,-10000,-10000,0
2,2022-06-18,167,14018.11664,12858.11664,1160
3,2022-06-18,167,19274.91038,17679.91038,1595
5,2022-06-18,167,8761.3229,8036.3229,725
1,2022-06-18,514,-26250,-26250,0
1,2022-06-19,290,-26250,-26250,0
4,2022-06-19,290,-2500,-2500,0
1,2022-06-19,358,4892.630988,4028.568488,864.0625
4,2022-06-19,358,465.964856,383.6731893,82.29166667
3,2022-06-19,500,-110000,-110000,0
1,2022-06-19,793,487.8400061,397.7150061,90.125
2,2022-06-19,793,1486.750495,1212.083828,274.6666667
4,2022-06-19,793,46.46095297,37.87761963,8.583333333
5,2022-06-19,793,929.2190593,757.5523927,171.6666667
1,2022-06-20,70,-26250,-26250,0
4,2022-06-20,70,-2500,-2500,0
1,2022-06-20,297,-5250,-5250,0
2,2022-06-20,297,-16000,-16000,0
4,2022-06-20,297,-500,-500,0
5,2022-06-20,297,-10000,-10000,0
3,2022-06-20,610,-11000,-11000,0
4,2022-06-20,610,-2500,-2500,0
3,2022-06-20,992,-11000,-11000,0
4,2022-06-20,992,-2500,-2500,0
3,2022-06-21,61,-11000,-11000,0
4,2022-06-21,61,-2500,-2500,0
1,2022-06-21,218,4892.630988,4028.568488,864.0625
4,2022-06-21,218,465.964856,383.6731893,82.29166667
1,2022-06-21,459,-26250,-26250,0
4,2022-06-21,459,-2500,-2500,0
1,2022-06-21,534,-26250,-26250,0
5,2022-06-22,544,-50000,-50000,0
1,2022-06-22,736,-26250,-26250,0
1,2022-06-23,714,4892.630988,4028.568488,864.0625
3,2022-06-23,714,2050.245366,1688.162033,362.0833333
4,2022-06-23,714,465.964856,383.6731893,82.29166667
1,2022-06-24,55,-26250,-26250,0
5,2022-06-24,171,-50000,-50000,0
1,2022-06-24,672,928.3184858,838.1934858,90.125
1,2022-06-24,678,-26250,-26250,0
3,2022-06-24,678,-11000,-11000,0
4,2022-06-24,678,-2500,-2500,0
1,2022-06-24,811,487.8400061,397.7150061,90.125
3,2022-06-24,811,2555.352413,2083.26908,472.0833333
5,2022-06-24,811,929.2190593,757.5523927,171.6666667
1,2022-06-24,884,2683.253306,1819.190806,864.0625
3,2022-06-24,884,1124.410909,762.3275757,362.0833333
3,2022-06-25,132,-27500,-27500,0
4,2022-06-25,132,-500,-500,0
1,2022-06-25,164,4892.630988,4028.568488,864.0625
3,2022-06-25,164,2050.245366,1688.162033,362.0833333
2,2022-06-25,407,-16000,-16000,0
5,2022-06-25,407,-10000,-10000,0
1,2022-06-25,687,-26250,-26250,0
3,2022-06-25,687,-11000,-11000,0
2,2022-06-25,964,-16000,-16000,0
4,2022-06-25,964,-500,-500,0
5,2022-06-25,964,-10000,-10000,0
1,2022-06-26,384,-5250,-5250,0
4,2022-06-26,384,-500,-500,0
5,2022-06-26,384,-10000,-10000,0
3,2022-06-26,385,-27500,-27500,0
4,2022-06-26,385,-500,-500,0
4,2022-06-26,457,-2500,-2500,0
1,2022-06-26,993,-26250,-26250,0
4,2022-06-26,993,-2500,-2500,0
3,2022-06-27,178,10053.41556,8458.415563,1595
1,2022-06-27,231,2683.253306,1819.190806,864.0625
1,2022-06-27,232,928.3184858,838.1934858,90.125
2,2022-06-27,232,2829.1611,2554.494433,274.6666667
3,2022-06-27,232,4862.62064,4390.537307,472.0833333
4,2022-06-27,232,88.41128436,79.82795103,8.583333333
5,2022-06-27,232,1768.225687,1596.559021,171.6666667
1,2022-06-27,293,-5250,-5250,0
5,2022-06-27,293,-10000,-10000,0
1,2022-06-27,558,2683.253306,1819.190806,864.0625
1,2022-06-27,569,-5250,-5250,0
2,2022-06-27,569,-16000,-16000,0
4,2022-06-27,569,-500,-500,0
1,2022-06-27,702,487.8400061,397.7150061,90.125
5,2022-06-27,702,929.2190593,757.5523927,171.6666667
2,2022-06-27,869,-16000,-16000,0
3,2022-06-27,869,-27500,-27500,0
5,2022-06-27,869,-10000,-10000,0
1,2022-06-29,89,2683.253306,1819.190806,864.0625
1,2022-06-29,190,2683.253306,1819.190806,864.0625
3,2022-06-29,190,1124.410909,762.3275757,362.0833333
4,2022-06-29,190,255.5479339,173.2562672,82.29166667
1,2022-06-29,227,928.3184858,838.1934858,90.125
2,2022-06-29,227,2829.1611,2554.494433,274.6666667
3,2022-06-29,227,4862.62064,4390.537307,472.0833333
5,2022-06-29,227,1768.225687,1596.559021,171.6666667
1,2022-06-29,258,487.8400061,397.7150061,90.125
2,2022-06-29,258,1486.750495,1212.083828,274.6666667
4,2022-06-29,258,46.46095297,37.87761963,8.583333333
5,2022-06-29,258,929.2190593,757.5523927,171.6666667
1,2022-06-29,742,-26250,-26250,0
4,2022-06-29,742,-2500,-2500,0
2,2022-06-29,789,7311.574955,6151.574955,1160
3,2022-06-29,823,-110000,-110000,0
5,2022-06-29,823,-50000,-50000,0
1,2022-06-29,866,-26250,-26250,0
4,2022-06-29,866,-2500,-2500,0
2,2022-06-29,951,-16000,-16000,0
3,2022-06-29,951,-27500,-27500,0
4,2022-06-29,951,-500,-500,0
1,2022-06-30,111,4892.630988,4028.568488,864.0625
2,2022-06-30,163,1486.750495,1212.083828,274.6666667
4,2022-06-30,163,46.46095297,37.87761963,8.583333333
1,2022-06-30,355,4892.630988,4028.568488,864.0625
3,2022-06-30,355,2050.245366,1688.162033,362.0833333
4,2022-06-30,355,465.964856,383.6731893,82.29166667
2,2022-06-30,448,-80000,-80000,0
5,2022-06-30,448,-50000,-50000,0
3,2022-06-30,592,1124.410909,787.4208584,336.9900506
1,2022-06-30,781,4892.630988,4161.175534,731.4554539
3,2022-06-30,781,2050.245366,1743.7307,306.5146664
4,2022-06-30,781,465.964856,396.3024318,69.66242418
1,2022-06-30,880,-5250,-5250,0
5,2022-06-30,880,-10000,-10000,0
2,2022-06-30,931,1486.750495,1212.083828,274.6666667
3,2022-06-30,931,2555.352413,2083.26908,472.0833333
4,2022-06-30,931,46.46095297,37.87761963,8.583333333
5,2022-06-30,931,929.2190593,757.5523927,171.6666667
1,2022-07-01,60,4892.630988,4028.568488,864.0625
4,2022-07-01,60,465.964856,383.6731893,82.29166667
3,2022-07-01,228,1124.410909,762.3275757,362.0833333
2,2022-07-01,332,-16000,-16000,0
4,2022-07-01,332,-500,-500,0
2,2022-07-01,381,1486.750495,1232.891267,253.8592276
3,2022-07-01,381,2555.352413,2119.031866,436.3205475
4,2022-07-01,381,46.46095297,38.5278521,7.933100863
1,2022-07-01,585,4892.630988,4028.568488,864.0625
1,2022-07-01,615,-26250,-26250,0
3,2022-07-01,615,-11000,-11000,0
4,2022-07-01,615,-2500,-2500,0
1,2022-07-02,677,-26250,-26250,0
4,2022-07-02,677,-2500,-2500,0
1,2022-07-02,842,-26250,-26250,0
3,2022-07-02,842,-11000,-11000,0
4,2022-07-02,842,-2500,-2500,0
1,2022-07-02,907,4892.630988,4028.568488,864.0625
4,2022-07-02,907,465.964856,383.6731893,82.29166667
3,2022-07-03,5,-11000,-11000,0
1,2022-07-03,248,4892.630988,4028.568488,864.0625
3,2022-07-03,282,1124.410909,787.4208584,336.9900506
4,2022-07-03,282,255.5479339,178.959286,76.58864787
1,2022-07-03,526,2683.253306,1879.072503,804.1808026
3,2022-07-03,526,1124.410909,787.4208584,336.9900506
4,2022-07-03,526,255.5479339,178.959286,76.58864787
1,2022-07-03,599,4892.630988,4161.175534,731.4554539
3,2022-07-03,599,2050.245366,1743.7307,306.5146664
4,2022-07-03,599,465.964856,396.3024318,69.66242418
4,2022-07-03,826,465.964856,383.6731893,82.29166667
1,2022-07-03,890,-5250,-5250,0
3,2022-07-03,890,-27500,-27500,0
5,2022-07-03,890,-10000,-10000,0
1,2022-07-04,21,487.8400061,404.5424471,83.29755906
2,2022-07-04,21,1486.750495,1232.891267,253.8592276
3,2022-07-04,545,1124.410909,787.4208584,336.9900506
4,2022-07-04,545,255.5479339,178.959286,76.58864787
4,2022-07-04,621,255.5479339,178.959286,76.58864787
1,2022-07-04,699,4892.630988,4028.568488,864.0625
1,2022-07-05,75,4892.630988,4028.568488,864.0625
4,2022-07-05,75,465.964856,383.6731893,82.29166667
1,2022-07-05,119,2683.253306,1819.190806,864.0625
4,2022-07-05,119,255.5479339,173.2562672,82.29166667
1,2022-07-05,175,4892.630988,4028.568488,864.0625
4,2022-07-05,175,465.964856,383.6731893,82.29166667
1,2022-07-05,198,2683.253306,1879.072503,804.1808026
1,2022-07-05,301,-5250,-5250,0
5,2022-07-05,301,-10000,-10000,0
1,2022-07-05,463,928.3184858,838.1934858,90.125
2,2022-07-05,463,2829.1611,2554.494433,274.6666667
3,2022-07-05,463,4862.62064,4390.537307,472.0833333
4,2022-07-05,463,88.41128436,79.82795103,8.583333333
3,2022-07-05,501,-11000,-11000,0
4,2022-07-05,501,-2500,-2500,0
1,2022-07-05,508,928.3184858,852.582474,75.73601183
2,2022-07-05,508,2829.1611,2598.346587,230.8145122
4,2022-07-05,508,88.41128436,81.19833085,7.212953507
5,2022-07-05,508,1768.225687,1623.966617,144.2590701
4,2022-07-05,604,255.5479339,178.959286,76.58864787
1,2022-07-05,783,-26250,-26250,0
1,2022-07-05,808,-26250,-26250,0
4,2022-07-05,808,-2500,-2500,0
1,2022-07-05,972,4892.630988,4161.175534,731.4554539
3,2022-07-05,972,2050.245366,1743.7307,306.5146664
4,2022-07-05,972,465.964856,396.3024318,69.66242418
3,2022-07-06,295,1124.410909,787.4208584,336.9900506
4,2022-07-06,295,255.5479339,178.959286,76.58864787
1,2022-07-06,398,487.8400061,397.7150061,90.125
2,2022-07-06,398,1486.750495,1212.083828,274.6666667
5,2022-07-06,398,929.2190593,757.5523927,171.6666667
1,2022-07-06,414,-26250,-26250,0
4,2022-07-06,414,-2500,-2500,0
4,2022-07-06,588,255.5479339,178.959286,76.58864787
1,2022-07-06,644,487.8400061,404.5424471,83.29755906
2,2022-07-06,644,1486.750495,1232.891267,253.8592276
3,2022-07-06,644,2555.352413,2119.031866,436.3205475
4,2022-07-06,644,46.46095297,38.5278521,7.933100863
1,2022-07-06,865,2683.253306,1819.190806,864.0625
1,2022-07-07,488,-26250,-26250,0
3,2022-07-07,488,-11000,-11000,0
4,2022-07-07,488,-2500,-2500,0
1,2022-07-07,560,-26250,-26250,0
3,2022-07-07,560,-11000,-11000,0
1,2022-07-07,613,-26250,-26250,0
3,2022-07-07,613,-11000,-11000,0
4,2022-07-07,613,-2500,-2500,0
1,2022-07-07,619,4892.630988,4161.175534,731.4554539
4,2022-07-07,619,465.964856,396.3024318,69.66242418
2,2022-07-07,652,-80000,-80000,0
5,2022-07-07,652,-50000,-50000,0
3,2022-07-07,909,19274.91038,17936.26908,1338.641299
1,2022-07-07,914,4892.630988,4161.175534,731.4554539
2,2022-07-07,926,-80000,-80000,0
3,2022-07-07,926,-110000,-110000,0
5,2022-07-07,926,-50000,-50000,0
1,2022-07-08,93,4892.630988,4161.175534,731.4554539
4,2022-07-08,93,465.964856,396.3024318,69.66242418
1,2022-07-08,640,4892.630988,4028.568488,864.0625
4,2022-07-08,640,465.964856,383.6731893,82.29166667
2,2022-07-08,757,7311.574955,6240.772792,1070.802163
3,2022-07-08,757,10053.41556,8581.062588,1472.352974
5,2022-07-08,757,4569.734347,3900.482995,669.251352
1,2022-07-08,763,487.8400061,404.5424471,83.29755906
2,2022-07-08,763,1486.750495,1232.891267,253.8592276
